airtime,selected_mcs,txgain,pm_power
1.0,23,48,14.6761813333333
1.0,0,43,14.2700026666667
1.0,5,43,13.313132
1.0,9,43,13.4974186666667
1.0,14,43,13.8704626666667
1.0,18,43,14.0756986666667
1.0,23,43,14.5675786666667
1.0,0,43,13.15216
1.0,5,43,13.3079493333333
1.0,9,43,13.463284
1.0,14,43,13.8382466666667
1.0,18,43,14.0761666666667
1.0,23,43,14.542828
1.0,0,43,13.1006533333333
1.0,5,43,13.3043786666667
1.0,9,43,13.3682466666667
1.0,14,43,13.8220773333333
1.0,18,43,14.0568906666667
1.0,23,43,14.5911066666667
1.0,0,43,13.0894013333333
1.0,5,43,13.1653426666667
1.0,9,43,13.4346453333333
1.0,14,43,13.850136
1.0,18,43,14.0806106666667
1.0,23,43,14.5831266666667
1.0,0,43,13.126956
1.0,5,43,13.1965866666667
1.0,9,43,13.4321813333333
1.0,14,43,13.8171546666667
1.0,18,43,14.00908
1.0,23,43,14.5244346666667
1.0,0,43,13.0978853333333
1.0,5,43,13.2451786666667
1.0,9,43,13.4553626666667
1.0,14,43,13.6769933333333
1.0,18,43,14.1205333333333
1.0,23,43,14.6409453333333
1.0,0,38,13.123
1.0,5,38,13.2061613333333
1.0,9,38,13.42296
1.0,14,38,13.8195613333333
1.0,18,38,14.0562773333333
1.0,23,38,14.5873573333333
1.0,0,38,13.0834826666667
1.0,5,38,13.197172
1.0,9,38,13.46426
1.0,14,38,13.8078466666667
1.0,18,38,14.0734213333333
1.0,23,38,14.6086373333333
1.0,0,38,12.9944333333333
1.0,5,38,13.2599213333333
1.0,9,38,13.3423013333333
1.0,14,38,13.8469133333333
1.0,18,38,14.076856
1.0,23,38,14.5357906666667
1.0,0,38,13.0932386666667
1.0,5,38,13.2711146666667
1.0,9,38,13.2942746666667
1.0,14,38,13.8479093333333
1.0,18,38,14.0825026666667
1.0,23,38,14.577488
1.0,0,38,13.1109733333333
1.0,5,38,13.219812
1.0,9,38,13.4005053333333
1.0,14,38,13.7974986666667
1.0,18,38,14.0912253333333
1.0,23,38,14.5787626666667
1.0,0,38,13.0933973333333
