BW,traffic_load,airtime,selected_mcs,txgain,pm_power
50,24,0.1,23,47,10.85747
50,24,0.0,23,47,10.628519999999998
50,24,1.0,23,46,12.89397
50,24,0.9,23,46,13.199519999999998
50,24,0.8,23,46,12.596429999999996
50,24,0.7,23,46,12.19345
50,24,0.6,23,46,12.3746
50,24,0.5,23,46,11.615520000000004
50,24,0.4,23,46,11.89169
50,24,0.3,23,46,11.06342
50,24,0.2,23,46,10.9258
50,24,0.1,23,46,11.39703
50,24,0.0,23,46,10.481620000000005
50,24,1.0,23,45,13.075490000000002
50,24,0.9,23,45,13.56745
50,24,0.8,23,45,13.26629
50,24,0.7,23,45,11.715390000000005
50,24,0.6,23,45,13.681079999999998
50,24,0.5,23,45,11.98513
50,24,0.4,23,45,11.68646
50,24,0.3,23,45,11.73699
50,24,0.2,23,45,10.48972
50,24,0.1,23,45,10.88785
50,24,0.0,23,45,10.5212
50,24,1.0,23,44,13.06451
50,24,0.9,23,44,12.69629
50,24,0.8,23,44,13.02119
50,24,0.7,23,44,12.386249999999997
50,24,0.6,23,44,11.90509
50,24,0.5,23,44,12.047820000000002
50,24,0.4,23,44,11.808280000000002
50,24,0.3,23,44,11.483209999999996
50,24,0.2,23,44,10.8873
50,24,0.1,23,44,10.49292
50,24,0.0,23,44,10.429589999999996
50,24,1.0,23,43,13.01912
50,24,0.9,23,43,12.98952
50,24,0.8,23,43,12.13767
50,24,0.7,23,43,11.613870000000002
50,24,0.6,23,43,12.99048
50,24,0.5,23,43,12.88003
50,24,0.4,23,43,11.990500000000004
50,24,0.3,23,43,11.4975
50,24,0.2,23,43,10.474489999999998
50,24,0.1,23,43,11.38135
50,24,0.0,23,43,10.579960000000003
50,24,1.0,23,42,12.960719999999997
50,24,0.9,23,42,12.796519999999996
50,24,0.8,23,42,12.498869999999997
50,24,0.7,23,42,11.623119999999997
50,24,0.6,23,42,12.13857
50,24,0.5,23,42,12.24889
50,24,0.4,23,42,11.582249999999997
50,24,0.3,23,42,11.17465
50,24,0.2,23,42,10.488509999999998
50,24,0.1,23,42,10.765440000000002
50,24,0.0,23,42,10.60464
50,24,1.0,23,41,12.877159999999998
50,24,0.9,23,41,12.637
